item_id,i0,i1,i2
1,3,3,0
2,2,3,0
3,1,2,0
4,3,3,0
5,4,4,0
6,0,0,0
7,2,1,0
8,3,2,0
9,2,3,0
10,4,4,0
11,1,2,0
12,4,5,1
13,2,4,0
14,4,2,1
15,2,3,0
16,3,2,0
17,4,3,0
18,4,5,0
19,5,2,1
20,3,1,0
21,3,4,0
22,5,3,0
23,3,2,0
24,3,1,0
25,2,1,0
26,4,2,1
27,6,5,0
28,5,2,1
29,5,3,0
30,3,2,0
31,1,0,0
32,2,4,0
33,4,2,0
34,1,3,0
35,2,3,0
36,3,5,0
37,4,3,0
38,3,3,0
39,4,2,0
40,4,4,0
41,2,2,0
42,2,2,0
43,3,2,0
44,1,1,0
45,3,3,0
46,4,4,0
47,2,3,0
48,5,3,0
49,2,2,0
50,3,4,0
51,2,2,0
52,4,3,0
53,3,3,0
54,4,3,0
55,4,4,0
56,3,2,0
57,2,0,1
58,2,2,0
59,6,4,0
60,3,3,1
61,2,1,1
62,3,4,0
63,5,2,1
64,1,1,0
65,2,2,0
66,5,1,1
67,1,1,0
68,3,3,1
69,5,5,1
70,4,2,0
71,4,1,0
72,4,3,1
73,5,3,0
74,3,3,1
75,2,2,0
76,2,2,0
77,4,2,1
78,2,3,0
79,4,4,0
80,4,3,0
81,3,3,0
82,4,3,0
83,3,3,0
84,2,3,0
85,3,2,0
86,1,1,0
87,4,4,0
88,1,2,0
89,3,2,0
90,4,2,0
91,4,3,0
92,4,4,0
93,2,3,0
94,2,3,0
95,4,4,1
96,2,2,0
97,2,3,0
98,5,3,1
99,4,3,0
100,3,2,0
